Item,Qty,Unit Price (INR),Total (INR),Retailer / Source,Notes
Rubber continuous track (caterpillar),2,3500,7000,IndiaMART / Robomart (robot track belt),Heavy-duty rubber caterpillar belt sized for stair-climbing tracks
Drive sprocket (toothed),2,850,1700,IndiaMART (drive sprocket suppliers),Steel sprocket keyed to motor shaft; matches track pitch
Idler wheel (front/rear),2,800,1600,Robu.in / Robomart,Flanged idler with bearing for tension side of track
Road / bogie wheel (PU 100mm),8,200,1600,Robu.in / Robocraze (10cm robot wheel),Polyurethane wheels for rocker-bogie suspension
Drive gear motor 24V 250W w/ electromagnetic brake,2,5000,10000,Robokits / RoboticsDNA / Xrobo (MY1016ZL),120 RPM geared PMDC motor for tracked drive
Joystick controller 24V,1,7000,7000,Robokits / RoboticsDNA (WB5003),Electric wheelchair joystick + drive controller
Battery 24V 20Ah LiFePO4,1,14832,14832,IndiaMART (Lithium India Inc.),With built-in BMS; ~480Wh for drive + jack
Battery charger 29.2V,1,1200,1200,Robu.in / Amazon India,LiFePO4-specific CC/CV charger
Linear actuator 12V 300mm stroke (hydraulic jack),1,5500,5500,Robu.in / Zbotic,Replaces hydraulic cylinder for seat lift
Support wheel / caster for jack (pair),1,400,400,Robu.in,Two small wheels on jack axle
Gas spring / telescopic suspension strut,4,1200,4800,Robu.in / IndiaMART,Independent mechanical-arm suspension per wheel
Aluminium extrusion 4040 (1 m),6,620,3720,IndiaMART / SunElectronics,Chassis cross-members + suspension beams
Steel tube / rod for axles,1,2000,2000,Local steel market / IndiaMART,Cross-track axles + spindles
Seat cushion with waterproof cover,1,1500,1500,Amazon India / local wheelchair dealer,Bucket seat padding + backrest
Seat pedestal column + mounting plate,1,1800,1800,Local fabrication / IndiaMART,Quick-release column on split-clamp hub
Footrest platform + heel lip + toe guard,1,1500,1500,Local fabrication,Aluminium/steel sheet
Ball bearings (8-10mm),1,2000,2000,Robu.in / Local bearing shop,Wheels + axles
Fasteners (M5/M6/M8 bolts, nuts, washers),1,1500,1500,Robu.in / local hardware,Full assembly hardware
Electrical wiring, connectors, fuses, switch,1,1500,1500,Robu.in / Amazon India,Wiring harness for motors + battery
Miscellaneous (paint, foam, welding consumables),1,2000,2000,Local market,Finishing and assembly
TOTAL,,,73152,,
